"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20080127010539I","27-JAN-08","SPOKANE","WA","SPOKANE INTL","INCIDENT","NONE","ROLL-OUT (FIXED WING)","BOEING","737","300","SOUTHWEST AIRLINES CO","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","353SW","0","0","","","","2","AIRLINE TRANSPORT","0","0","128",""
"20080130011699I","30-JAN-08","MANCHESTER","NH","MANCHESTER","INCIDENT","SUBSTANTIAL","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-208","CE-208-B","WIGGINS AIRWAYS INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","NONE","959FE","0","0","PWA","PT6*","PT6","1","PILOT NOT CERTIFICATED","0","0","0",""
"20080203013699I","03-FEB-08","ANDERSON","SC","","INCIDENT","MINOR","NORMAL CRUISE","JUST AIRCRAFT","HIGHLANDER","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","866SC","0","0","ROTAX","ROTAX912","912","1","PRIVATE PILOT","0","0","0",""
"20080206013649I","06-FEB-08","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","MOONEY","M-20","M-20-R","","OTHER","GENERAL OPERATING RULES","UNKNOWN","535R","0","0","","","","1","","0","0","0",""
"20080206832799I","06-FEB-08","GOSHEN","IN","GOSHEN MUNI","INCIDENT","MINOR","CLIMB","ISRAEL AIRCRAFT INDUSTRIES","WESTWIND","1124","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","403W","0","0","","","","2","","0","0","0",""
"20080208013709I","08-FEB-08","DOTHAN","AL","DOTHAN RGNL","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-182","CE-182-Q","","INSTRUCTION","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","888CH","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080209013779I","09-FEB-08","GREENVILLE","SC","GREENVILLE DOWNTOWN","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","SCWZER","","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","17WL","0","0","","","","","","0","0","0",""
"20080213010599I","13-FEB-08","TULSA","OK","RICHARD LLOYD JONES JR","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-152","","SPARTAN SCHOOL OF AERONAUTICS","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","48568","0","0","","","","1","STUDENT","0","0","0",""
"20080213010699I","13-FEB-08","HAYS","KS","","INCIDENT","NONE","FINAL APPROACH","RAYTHEON","1900","D","GREAT LAKES AVIATION LTD","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","154GL","0","0","PWA","PT6A67D","PT6","2","AIRLINE TRANSPORT","0","0","0",""
"20080213011099I","13-FEB-08","HAYS","KS","HAYS RGNL","INCIDENT","NONE","NORMAL CRUISE","RAYTHEON","1900","D","GREAT LAKES AVIATION LTD","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","122UX","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080214010709I","14-FEB-08","WICHITA","KS","","INCIDENT","NONE","DESCENT","CESSNA","CITATION 550 II","","CITATIONSHARES MANAGEMENT LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","329CS","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080214832909I","14-FEB-08","NARITA","","","INCIDENT","MINOR","OTHER GROUND OPERATIONS","BOEING","747","400","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","663US","0","1","","","","4","","0","0","0",""
"20080215011919I","15-FEB-08","LIVERMORE","CA","LIVERMORE MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-182","CE-182-T","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","51732","0","0","","","","1","","0","0","0",""
"20080215832279I","15-FEB-08","FORT WAYNE","IN","FORT WAYNE INTL","INCIDENT","NONE","NORMAL CRUISE","MCDONNELL-DOUGLAS-BOEING","DC-9","51","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","UNKNO","0","0","","","","2","","0","0","0",""
"20080218012849I","18-FEB-08","","NJ","MONMOUTH EXECUTIVE","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-34","PA-34-200","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1031U","0","0","","","","2","","0","0","0",""
"20080219010469I","19-FEB-08","OLNEY","TX","","INCIDENT","NONE","NORMAL CRUISE","PIPER","PA-28","PA-28-161","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","2233W","0","0","","","","1","STUDENT","0","0","0",""
"20080220012279I","20-FEB-08","LAFAYETTE","LA","LAFAYETTE RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","GLASAIR","GLASAIR-SH2","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","148WT","0","0","","","","1","","0","0","0",""
"20080220013729I","20-FEB-08","","","","INCIDENT","NONE","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CANADAIR-BOMBARDIER","CHALLENGER","600","MESA AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","925FJ","0","0","GE","CF348C5","CF34","2","","0","0","0",""
"20080220013789I","20-FEB-08","VENUS","FL","","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-172","CE-172-S","","OTHER","GENERAL OPERATING RULES","UNKNOWN","1735L","0","0","THIELT","TAE1250299","TAE125","1","","0","0","0",""
"20080221011969I","21-FEB-08","DAVIS","CA","UNIVERSITY","INCIDENT","NONE","ROLL-OUT (FIXED WING)","CESSNA","CE-172","CE-172-P","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","64040","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080222839409I","22-FEB-08","ORLANDO","FL","ORLANDO INTL","INCIDENT","NONE","DESCENT","BOEING","737","700","SOUTHWEST AIRLINES CO","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","551WN","0","1","","","","2","","0","0","0",""
"20080223011439I","23-FEB-08","DENTON","TX","DENTON MUNI","INCIDENT","SUBSTANTIAL","LEVEL OFF TOUCHDOWN","PIPER","PA-34","PA-34-200","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","852AT","0","0","","","","2","PRIVATE PILOT","0","0","0",""
"20080224832619I","24-FEB-08","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","NONE","NORMAL CRUISE","HS-BAE SYSTEMS","125-HAWKER","700","SC AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","210RK","0","0","","","","2","","0","0","0",""
"20080226832919I","26-FEB-08","NARITA","","","INCIDENT","NONE","NORMAL CRUISE","BOEING","747","400","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","671US","0","0","","","","4","","0","0","0",""
"20080229012049I","29-FEB-08","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-340","CE-340-A","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","340KY","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080229833889I","29-FEB-08","DETROIT","MI","DETROIT METROPOLITAN WAYNE COUNTY","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","MCDONNELL-DOUGLAS-BOEING","DC-9","32","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","967N","0","0","PWA","JT8D9A","JT8","2","","0","0","0",""
"20080301832669I","01-MAR-08","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","NONE","DESCENT","CESSNA","CE-560","","NETJETS AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","312QS","0","0","","","","2","","0","0","0",""
"20080301832719I","01-MAR-08","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","NONE","NORMAL CRUISE","AIRBUS","A320","210","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","331NW","0","0","","","","2","","0","0","0",""
"20080303011639I","03-MAR-08","PITTSBURGH","PA","PITTSBURGH INTL","INCIDENT","NONE","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CANADAIR-BOMBARDIER","CHALLENGER","600","MESA AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","75995","0","0","GE","CF34*","CF34","2","","0","0","0",""
"20080304013029I","04-MAR-08","MOUNTAIN VIEW","CA","MOFFETT FEDERAL AFLD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-V35B","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","317CH","0","0","","","","1","PRIVATE PILOT","0","1000","20",""
"20080304832739I","04-MAR-08","","","","INCIDENT","NONE","NORMAL CRUISE","AIRBUS","A319","110","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","333NB","0","6","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080306833089I","06-MAR-08","BISMARCK","ND","BISMARCK MUNI","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-414","CE-414-A","BISMARCK AIR MEDICAL LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","901BA","0","0","","","","2","","0","0","0",""
"20080308011619I","08-MAR-08","PITTSBURGH","PA","PITTSBURGH INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","BOEING","737","200","SKY KING INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","326DL","0","0","PWA","JT8D*","JT8","2","","0","0","0",""
"20080308012509I","08-MAR-08","LINCOLN","NE","","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-208","CE-208-B","BARON AVIATION SERVICES INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","957FE","0","0","PWA","PT6A114","PT6","1","","0","0","0",""
"20080309833429I","09-MAR-08","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","SUBSTANTIAL","OTHER GROUND OPERATIONS","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","970SW","0","0","GE","CF343B1","CF34","2","","0","0","0",""
"20080312012249I","12-MAR-08","ROSHARON","TX","BB AIRPARK","INCIDENT","NONE","PARACHUTE JUMPING","","","","","OTHER","PARACHUTE JUMPING","UNKNOWN","UNKNO","0","0","","","","","","0","0","0",""
"20080312012999I","12-MAR-08","PORTLAND","ME","PORTLAND INTL JETPORT","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","VELOCITY","VELO","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","134JP","0","0","","","","1","PRIVATE PILOT","0","25","25",""
"20080313014279I","13-MAR-08","GEORGETOWN","SC","GEORGETOWN COUNTY","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-172","CE-172-S","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","91PR","0","0","","","","1","","0","0","0",""
"20080315832969I","15-MAR-08","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","NONE","NORMAL CRUISE","DASSAULT AVIATION","FALCON 900","","JETCHOICE 1 LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","751JC","0","0","","","","3","","0","0","0",""
"20080316012019I","16-MAR-08","LEXINGTON","KY","BLUE GRASS","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-76","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","17AT","0","0","","","","2","","0","0","0",""
"20080316012429I","16-MAR-08","ALLENTOWN","PA","","INCIDENT","MINOR","CLIMB","DE HAVILLAND-BOMBARDIER","DASH 8","100","PIEDMONT AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","815EX","0","0","PWA","PW120A","120","2","AIRLINE TRANSPORT","0","0","195",""
"20080316013909I","16-MAR-08","HARRISBURG","PA","HARRISBURG INTL","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","CANADAIR-BOMBARDIER","CHALLENGER","600","COMAIR INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","954CA","0","0","GE","CF343A1","CF34","2","","0","0","0",""
"20080316841489I","16-MAR-08","LIBERAL","KS","LIBERAL MID-AMERICA RGNL","INCIDENT","NONE","LEVEL OFF TOUCHDOWN","RAYTHEON","1900","D","GREAT LAKES AVIATION LTD","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","122UX","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","0","210",""
"20080317833069I","17-MAR-08","LA CROSSE","WI","LA CROSSE MUNI","INCIDENT","NONE","OTHER GROUND OPERATIONS","CANADAIR-BOMBARDIER","CHALLENGER","600","PINNACLE AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8903A","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080318011949I","18-MAR-08","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","CLIMB","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","608SK","0","0","","","","2","","0","0","0",""
"20080318014569I","18-MAR-08","RICHMOND","VA","RICHMOND INTL","INCIDENT","MINOR","NORMAL CRUISE","PIPER","PA-23","PA-23-250","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","54857","0","0","LYC","IO540C4B5","O540","2","","0","0","0",""
"20080318832399I","18-MAR-08","SAN DIEGO","CA","SAN DIEGO INTL","INCIDENT","NONE","TAKEOFF GROUND ROLL","DASSAULT AVIATION","FALCON 10-100","","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","168DJ","0","0","","","","2","","0","0","0",""
"20080318834349I","18-MAR-08","SAN DIEGO","CA","GILLESPIE FIELD","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-170","CE-170-A","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1607D","0","0","","","","1","","0","0","0",""
"20080319012469I","19-MAR-08","LOUISVILLE","KY","LOUISVILLE INTL-STANDIFORD FIELD","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","MCDONNELL-DOUGLAS-BOEING","DC-8","71C","UNITED PARCEL SERVICE CO","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","730UP","0","0","GE","CFM562C","CFM56","4","","0","0","0",""
"20080321013449I","21-MAR-08","","NJ","MONMOUTH EXECUTIVE","INCIDENT","SUBSTANTIAL","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-172","CE-172-N","","OTHER","GENERAL OPERATING RULES","NONE","6591D","0","1","LYC","O360*","O360","1","","0","0","0",""
"20080323012759I","23-MAR-08","BOULDER","CO","BOULDER MUNI","INCIDENT","MINOR","TO ABORTED (FIXED WING)","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","NONE","5247D","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080324013289I","24-MAR-08","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","483C","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080324833609I","24-MAR-08","HUNTSVILLE","TX","","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","MOONEY","M-20","M-20-K","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","231DE","0","0","CONT","TSIO360LB","O360","1","PRIVATE PILOT","0","0","0",""
"20080324837649I","24-MAR-08","BINGHAMTON","NY","GREATER BINGHAMTON/EDWIN A LINK FIELD","INCIDENT","MINOR","DESCENT","SAAB","340","B","COLGAN AIR INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","249CJ","0","0","","","","2","","0","0","0",""
"20080324848239I","24-MAR-08","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","NORMAL CRUISE","EMBRAER","170","LR","COMPASS AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","614CZ","0","0","","","","2","AIRLINE TRANSPORT","0","0","0",""
"20080326014239I","26-MAR-08","LOGANVILLE","GA","","INCIDENT","NONE","NORMAL CRUISE","ROBSIN","R-44","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","7507H","0","0","","","","1","PRIVATE PILOT","0","0","0",""
"20080326014529I","26-MAR-08","SAN JOSE","CA","NORMAN Y. MINETA SAN JOSE INTL","INCIDENT","MINOR","NORMAL CRUISE","DE HAVILLAND-BOMBARDIER","DASH 8","400","HORIZON AIR INDUSTRIES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","UNKNOWN","427QX","0","0","","","","2","","0","0","0",""
"20080331832779I","31-MAR-08","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","NONE","DESCENT","AIRBUS","A319","110","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","370NB","0","1","","","","2","","0","0","0",""
"20080331836609I","31-MAR-08","CORAL SPRINGS","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","PRACTICE TRAINING MENEUVERS","CESSNA","CE-172","CE-172-S","","PERSONAL","GENERAL OPERATING RULES","NONE","864CK","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","0","0",""
"20080401012819I","01-APR-08","REDMOND","OR","ROBERTS FIELD","INCIDENT","MINOR","","RANS","S-7","","","","GENERAL OPERATING RULES","UNKNOWN","73810","0","0","","","","1","","0","0","0",""
"20080405012949I","05-APR-08","NASHVILLE","TN","CORNELIA FORT AIRPARK","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-M35","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","CFINV","0","0","","","","1","","0","0","0",""
"20080406012749I","06-APR-08","SANTA FE","NM","SANTA FE MUNI","INCIDENT","MINOR","","VANS","RV-6","RV-6-A","","","GENERAL OPERATING RULES","UNKNOWN","419B","0","0","","","","1","","0","0","0",""
"20080406838139I","06-APR-08","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","","","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","62AH","0","0","ROTAX","ROTAX*","","","","0","30","30",""
"20080407832299I","07-APR-08","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","NONE","NORMAL CRUISE","EMBRAER","ERJ-145","XR","EXPRESSJET AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","11137","0","0","","","","2","","0","0","0",""
"20080407833399I","07-APR-08","KENAI","AK","KENAI MUNI","INCIDENT","NONE","CLIMB","DOUG","DC-6","DC-6-A","EVERTS AIR FUEL","OTHER","GENERAL OPERATING RULES","UNKNOWN","7780B","0","0","","","","4","AIRLINE TRANSPORT","0","0","0",""
"20080408832019I","08-APR-08","WEST PALM BEACH","FL","PALM BEACH INTL","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","CESSNA","CITATION 550 II","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","330DK","0","0","","","","2","","0","0","0",""
"20080408847759I","08-APR-08","INDIANAPOLIS","IN","INDIANAPOLIS INTL","INCIDENT","NONE","NORMAL CRUISE","MCDONNELL-DOUGLAS-BOEING","MD-80","82","AMERICAN AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","451AA","0","0","PWA","JT8D","JT8","2","","0","0","0",""
"20080409013549I","09-APR-08","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BOEING","747","200","","OTHER","GENERAL OPERATING RULES","UNKNOWN","787RR","0","0","","","","4","","0","0","0",""
"20080409014509I","09-APR-08","NORFOLK","VA","NORFOLK INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A319","110","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","302NB","0","0","","","","2","","0","0","0",""
"20080409834859I","09-APR-08","MOJAVE","CA","MOJAVE","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","SCALED COMP","151","","","OTHER","GENERAL OPERATING RULES","UNKNOWN","151SC","0","0","PWA","JT15D5","JT15","","COMMERCIAL PILOT","0","0","0",""
"20080409837939I","09-APR-08","FRANKLIN","CA","FRANKLIN FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","MOONEY","M-20","M-20-J","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1144N","0","0","","","","1","","0","0","0",""
"20080410013429I","10-APR-08","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","442SW","0","0","","","","2","","0","0","0",""
"20080410831929I","10-APR-08","","AK","","INCIDENT","MINOR","NORMAL CRUISE","CESSNA","CE-185","CE-185-F","","INDUSTRIAL/SPECIAL","GENERAL OPERATING RULES","UNKNOWN","757","0","0","CONT","IO520*","O520","1","","0","0","0",""
"20080410837829I","10-APR-08","NEW YORK","NY","LA GUARDIA","INCIDENT","MINOR","OTHER GROUND OPERATIONS","SAAB","340","B","COLGAN AIR INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","347CJ","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","0","370","156",""
